Timestamp,Gaze,Focus,Smile,Head
2026-01-18 23:07:28.387308,"Looking Right, Looking Down",Looking Away,Smiling,Static
2026-01-18 23:07:28.697869,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:28.932353,"Looking Right, Looking Down",Looking Away,Smiling,Static
2026-01-18 23:07:29.165640,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:29.415924,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:29.650174,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:29.900989,"Looking Right, Looking Down",Looking Away,Neutral,Head Down / No
2026-01-18 23:07:30.150785,"Looking Right, Looking Down",Looking Away,Neutral,Head Down / No
2026-01-18 23:07:30.383825,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:30.633027,"Looking Right, Looking Down",Looking Away,Neutral,Head Up / Yes
2026-01-18 23:07:30.866460,"Looking Right, Looking Down",Looking Away,Neutral,Head Up / Yes
2026-01-18 23:07:31.113125,"Looking Right, Looking Down",Looking Away,Smiling,Head Up / Yes
2026-01-18 23:07:31.348243,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:31.595727,"Looking Right, Looking Down",Looking Away,Smiling,Static
2026-01-18 23:07:31.828107,"Looking Right, Looking Down",Looking Away,Neutral,Head Down / No
2026-01-18 23:07:32.060723,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:32.311057,"Looking Right, Looking Down",Looking Away,Neutral,Static
2026-01-18 23:07:32.544582,"Looking Right, Looking Down",Looking Away,Smiling,Head Up / Yes
2026-01-18 23:07:32.567743,N/A,N/A,N/A,N/A
2026-01-18 23:07:32.827060,"Looking Right, Looking Down",Looking Away,Smiling,Static
2026-01-18 23:07:33.061035,"Looking Right, Looking Down",Looking Away,Neutral,Head Down / No
2026-01-18 23:07:33.297199,"Looking Right, Looking Down",Looking Away,Smiling,Head Up / Yes
