ID,Timestamp,Focus,Head,Smile,Emotion
1,2026-01-23 20:51:39,Focused,DOWN,YES,HAPPY 🙂
2,2026-01-23 20:51:42,Looking Away,DOWN,NO,SAD 😞
3,2026-01-23 20:51:44,Looking Away,DOWN,NO,SAD 😞
4,2026-01-23 20:51:46,Looking Away,DOWN,NO,SAD 😞
5,2026-01-23 20:51:48,Looking Away,DOWN,NO,SAD 😞
6,2026-01-23 20:51:50,Looking Away,DOWN,YES,HAPPY 🙂
7,2026-01-23 20:51:52,Looking Away,DOWN,YES,HAPPY 🙂
8,2026-01-23 20:51:54,Looking Away,DOWN,NO,SAD 😞
9,2026-01-23 20:51:56,Looking Away,DOWN,YES,HAPPY 🙂
10,2026-01-23 20:51:58,Looking Away,DOWN,YES,HAPPY 🙂
11,2026-01-23 20:52:00,Looking Away,DOWN,YES,HAPPY 🙂
12,2026-01-23 20:52:02,Looking Away,DOWN,YES,HAPPY 🙂
13,2026-01-23 20:52:04,Looking Away,DOWN,YES,HAPPY 🙂
14,2026-01-23 20:52:06,Looking Away,DOWN,YES,HAPPY 🙂
15,2026-01-23 20:52:08,Looking Away,DOWN,YES,HAPPY 🙂
16,2026-01-23 20:52:10,Looking Away,DOWN,YES,HAPPY 🙂
17,2026-01-23 20:52:12,Looking Away,DOWN,NO,SAD 😞
18,2026-01-23 20:52:14,Looking Away,DOWN,NO,SAD 😞
19,2026-01-23 20:52:16,Looking Away,DOWN,NO,SAD 😞
20,2026-01-23 20:52:18,Looking Away,DOWN,NO,SAD 😞
21,2026-01-23 20:58:02,Looking Away,DOWN,NO,CALM 😐
22,2026-01-23 20:58:04,Looking Away,CENTER,NO,CALM 😐
23,2026-01-23 20:58:06,No Face,CENTER,NO,CALM 😐
24,2026-01-23 20:58:08,Looking Away,DOWN,NO,CALM 😐
25,2026-01-23 20:58:10,Looking Away,CENTER,NO,CALM 😐
26,2026-01-23 20:58:12,Looking Away,DOWN,NO,CALM 😐
27,2026-01-23 20:58:14,Looking Away,DOWN,YES,HAPPY 🙂
28,2026-01-23 20:58:16,Looking Away,DOWN,YES,HAPPY 🙂
29,2026-01-23 20:58:18,Looking Away,DOWN,YES,HAPPY 🙂
30,2026-01-23 20:58:20,Looking Away,DOWN,YES,HAPPY 🙂
31,2026-01-23 20:58:22,Looking Away,DOWN,NO,SAD 😞
32,2026-01-23 21:01:46,Looking Away,DOWN,NO,CALM 😐
33,2026-01-23 21:01:49,Looking Away,DOWN,NO,SAD 😞
34,2026-01-23 21:01:51,Looking Away,DOWN,YES,HAPPY 🙂
35,2026-01-23 21:01:53,Looking Away,DOWN,YES,HAPPY 🙂
36,2026-01-23 21:01:55,Looking Away,DOWN,NO,SAD 😞
37,2026-01-23 21:01:57,Looking Away,DOWN,YES,HAPPY 🙂
38,2026-01-23 21:01:59,Looking Away,DOWN,YES,HAPPY 🙂
39,2026-01-23 21:02:01,Looking Away,DOWN,NO,SAD 😞
40,2026-01-23 21:02:03,Looking Away,DOWN,YES,HAPPY 🙂
41,2026-01-23 21:10:42,Looking Away,DOWN,NO,CALM 😐
42,2026-01-23 21:10:44,Looking Away,DOWN,NO,SAD 😞
43,2026-01-23 21:10:46,Looking Away,DOWN,NO,SAD 😞
44,2026-01-23 21:10:48,Looking Away,DOWN,NO,SAD 😞
45,2026-01-23 21:10:50,Looking Away,DOWN,YES,HAPPY 🙂
46,2026-01-23 21:10:52,Looking Away,DOWN,YES,HAPPY 🙂
47,2026-01-23 21:10:54,Looking Away,DOWN,YES,HAPPY 🙂
48,2026-01-24 19:13:43,No Face,CENTER,NO,CALM 😐
49,2026-01-24 19:13:45,No Face,CENTER,NO,CALM 😐
50,2026-01-24 19:13:47,No Face,CENTER,NO,CALM 😐
51,2026-01-24 19:13:49,Looking Away,DOWN,NO,CALM 😐
52,2026-01-24 19:13:51,Looking Away,DOWN,NO,SAD 😞
53,2026-01-24 19:13:53,Looking Away,DOWN,NO,SAD 😞
54,2026-01-24 19:13:55,Looking Away,DOWN,NO,SAD 😞
55,2026-01-24 19:13:57,Looking Away,CENTER,NO,CALM 😐
